age,education-num,hours-per-week,gender,class
41,9,30,Male,<=50K
45,9,30,Female,<=50K
29,9,50,Female,<=50K
59,9,40,Female,<=50K
51,9,40,Male,<=50K
28,6,35,Male,<=50K
27,9,40,Male,<=50K
37,9,50,Male,>50K
35,9,40,Male,<=50K
49,9,40,Male,>50K
49,10,50,Male,<=50K
32,9,55,Male,<=50K
27,10,55,Male,<=50K
64,15,16,Male,<=50K
55,14,10,Male,>50K
43,14,50,Male,>50K
23,13,40,Male,<=50K
40,6,40,Male,<=50K
42,9,43,Male,>50K
53,13,40,Male,>50K
27,9,40,Male,<=50K
17,7,40,Female,<=50K
43,9,40,Female,<=50K
60,16,40,Male,>50K
39,6,60,Male,<=50K
50,9,45,Female,<=50K
44,10,55,Male,<=50K
24,13,55,Male,<=50K
58,10,40,Male,<=50K
25,13,40,Male,<=50K
80,9,20,Female,<=50K
44,9,60,Male,<=50K
23,13,40,Female,<=50K
35,9,35,Female,<=50K
31,11,32,Female,<=50K
48,9,52,Male,<=50K
53,16,20,Male,<=50K
21,10,25,Female,<=50K
36,10,40,Female,<=50K
49,10,40,Male,<=50K
48,10,40,Male,>50K
21,10,20,Female,<=50K
31,9,45,Male,<=50K
28,16,30,Male,<=50K
51,13,35,Female,<=50K
66,10,50,Male,<=50K
32,9,40,Male,<=50K
17,9,35,Male,<=50K
46,13,77,Male,<=50K
29,9,40,Male,<=50K
46,4,30,Female,<=50K
67,9,50,Male,<=50K
42,6,40,Female,<=50K
53,8,40,Male,<=50K
39,9,40,Male,<=50K
27,10,55,Male,<=50K
48,10,50,Male,<=50K
19,9,15,Male,<=50K
80,2,15,Male,<=50K
58,8,40,Male,<=50K
42,13,60,Male,>50K
34,13,50,Female,>50K
47,11,40,Male,<=50K
65,9,40,Male,<=50K
48,9,70,Male,<=50K
26,12,40,Female,<=50K
55,9,48,Male,>50K
21,9,60,Male,<=50K
24,10,40,Male,>50K
35,9,40,Female,>50K
43,12,40,Female,<=50K
55,9,46,Male,>50K
53,14,35,Female,>50K
48,9,40,Female,<=50K
37,9,50,Male,<=50K
20,10,37,Female,<=50K
27,14,45,Female,<=50K
37,10,47,Male,<=50K
66,10,40,Female,>50K
48,10,45,Female,<=50K
31,10,50,Male,>50K
43,10,40,Female,<=50K
32,10,40,Female,<=50K
54,9,40,Male,<=50K
42,13,40,Female,<=50K
30,10,40,Male,<=50K
44,9,55,Male,<=50K
23,10,40,Female,<=50K
23,13,40,Male,<=50K
47,13,45,Male,>50K
17,6,20,Female,<=50K
27,10,40,Female,<=50K
29,9,30,Female,<=50K
50,14,25,Female,<=50K
44,10,12,Male,<=50K
39,10,40,Male,>50K
48,10,40,Male,<=50K
47,13,50,Female,<=50K
28,13,70,Female,<=50K
55,9,40,Male,<=50K
33,9,60,Male,<=50K
22,13,50,Male,<=50K
18,7,20,Male,<=50K
45,9,50,Female,<=50K
21,10,40,Female,<=50K
36,9,40,Male,<=50K
39,9,40,Male,<=50K
23,9,60,Male,<=50K
44,9,40,Female,<=50K
55,9,40,Female,<=50K
46,15,60,Male,>50K
56,13,50,Male,<=50K
33,9,38,Male,<=50K
59,9,15,Female,<=50K
41,9,40,Female,<=50K
39,10,50,Male,>50K
20,9,25,Male,<=50K
31,10,20,Female,<=50K
38,10,50,Male,>50K
39,13,50,Male,>50K
47,9,45,Male,>50K
38,6,35,Male,<=50K
33,10,99,Female,>50K
57,14,40,Female,<=50K
46,13,40,Female,<=50K
49,10,40,Male,>50K
31,8,55,Male,<=50K
23,13,40,Female,<=50K
18,3,54,Male,<=50K
41,11,40,Female,<=50K
19,10,40,Male,<=50K
23,9,40,Female,<=50K
51,13,50,Male,>50K
22,10,40,Male,<=50K
36,9,40,Male,<=50K
31,9,40,Male,<=50K
39,14,60,Female,>50K
26,13,50,Male,<=50K
40,13,50,Male,>50K
24,9,40,Male,<=50K
31,9,40,Male,>50K
64,12,20,Female,<=50K
38,13,50,Male,>50K
27,12,40,Female,<=50K
28,9,65,Male,>50K
29,10,20,Male,<=50K
43,13,50,Male,<=50K
76,6,15,Male,<=50K
55,9,55,Male,<=50K
23,13,25,Female,<=50K
29,13,25,Female,>50K
46,9,30,Male,>50K
36,13,55,Male,>50K
34,5,38,Male,<=50K
62,13,30,Male,<=50K
37,10,40,Male,<=50K
54,10,40,Male,<=50K
50,13,40,Female,>50K
23,4,40,Male,<=50K
41,13,40,Female,<=50K
47,14,42,Male,<=50K
21,10,40,Female,<=50K
21,8,40,Male,<=50K
38,9,40,Female,<=50K
48,13,40,Female,>50K
60,15,16,Male,<=50K
20,9,20,Female,<=50K
40,10,38,Female,<=50K
36,15,80,Male,>50K
29,9,40,Female,<=50K
68,10,48,Male,>50K
60,9,65,Male,>50K
26,13,40,Male,>50K
22,9,40,Male,<=50K
64,4,40,Male,>50K
17,7,20,Male,<=50K
24,13,40,Male,<=50K
44,13,40,Male,>50K
36,10,50,Male,<=50K
43,13,35,Female,<=50K
69,9,40,Male,<=50K
47,15,40,Male,<=50K
29,9,55,Male,<=50K
26,10,40,Male,<=50K
30,9,40,Female,<=50K
32,7,40,Male,<=50K
30,9,32,Male,<=50K
58,14,50,Male,>50K
44,14,40,Female,<=50K
52,9,40,Male,>50K
27,6,48,Male,<=50K
35,10,46,Male,<=50K
33,13,40,Male,>50K
36,9,40,Male,<=50K
23,10,40,Male,<=50K
53,9,46,Male,>50K
39,13,50,Male,>50K
31,5,25,Female,<=50K
27,10,40,Female,<=50K
55,6,70,Male,>50K
22,9,40,Female,<=50K
44,16,40,Female,<=50K
39,13,60,Male,<=50K
72,9,30,Male,<=50K
28,9,40,Male,>50K
45,14,50,Male,>50K
30,8,40,Male,<=50K
29,10,46,Male,<=50K
68,5,20,Male,<=50K
49,10,50,Male,>50K
20,9,70,Male,<=50K
51,9,20,Male,>50K
28,9,70,Male,>50K
40,14,50,Female,<=50K
43,9,40,Male,<=50K
47,10,40,Female,<=50K
27,9,40,Male,<=50K
35,14,32,Female,<=50K
35,9,40,Female,<=50K
30,10,40,Male,<=50K
19,9,30,Female,<=50K
44,13,70,Female,<=50K
20,10,40,Male,<=50K
50,3,34,Female,<=50K
41,13,50,Male,>50K
43,13,50,Male,<=50K
34,9,40,Female,<=50K
53,16,50,Male,>50K
45,10,30,Male,<=50K
26,9,40,Male,<=50K
19,10,30,Male,<=50K
57,13,40,Female,>50K
20,5,20,Female,<=50K
43,10,70,Male,>50K
36,9,40,Male,<=50K
34,10,52,Male,>50K
24,6,49,Male,<=50K
55,6,40,Male,<=50K
48,16,50,Male,>50K
41,2,40,Male,>50K
34,9,50,Male,<=50K
38,15,60,Male,<=50K
37,10,45,Female,>50K
23,7,40,Female,<=50K
35,14,60,Male,<=50K
43,3,40,Male,<=50K
18,7,20,Male,<=50K
44,16,40,Male,>50K
21,10,16,Female,<=50K
21,9,40,Male,<=50K
25,9,40,Male,<=50K
30,9,40,Female,<=50K
65,10,24,Female,<=50K
22,4,40,Female,<=50K
52,6,55,Male,<=50K
42,10,23,Female,<=50K
42,9,40,Male,<=50K
49,13,40,Male,>50K
42,10,60,Male,>50K
51,9,40,Male,>50K
23,13,35,Male,<=50K
38,13,35,Male,>50K
34,14,40,Female,<=50K
37,9,40,Male,<=50K
27,12,40,Male,<=50K
30,10,40,Female,<=50K
46,10,35,Female,<=50K
27,13,45,Female,>50K
49,9,40,Female,<=50K
32,9,40,Female,<=50K
48,9,40,Male,<=50K
19,9,25,Male,<=50K
25,10,38,Male,<=50K
28,13,40,Male,<=50K
27,14,25,Female,<=50K
37,14,65,Male,<=50K
30,13,40,Male,>50K
34,12,60,Male,<=50K
37,10,40,Male,>50K
49,10,40,Male,<=50K
50,13,55,Male,>50K
35,9,45,Female,<=50K
24,11,40,Male,<=50K
39,10,40,Female,<=50K
46,10,40,Female,<=50K
18,10,12,Female,<=50K
56,9,24,Female,>50K
28,9,40,Female,<=50K
54,10,48,Female,<=50K
32,14,40,Female,<=50K
41,4,40,Male,<=50K
47,10,40,Male,<=50K
61,9,40,Male,<=50K
23,10,9,Male,<=50K
58,14,40,Male,>50K
55,9,40,Male,<=50K
39,9,40,Female,<=50K
25,13,15,Female,<=50K
38,14,55,Female,<=50K
35,12,40,Male,<=50K
32,9,35,Female,<=50K
18,7,40,Male,<=50K
30,10,40,Female,<=50K
27,9,48,Male,<=50K
27,10,65,Male,<=50K
59,10,40,Female,<=50K
38,9,35,Female,<=50K
37,10,40,Male,<=50K
54,9,40,Male,>50K
21,9,40,Male,<=50K
24,12,22,Female,<=50K
74,6,20,Male,<=50K
20,10,20,Female,<=50K
45,13,50,Male,>50K
36,9,36,Female,<=50K
43,10,30,Female,<=50K
18,10,30,Male,<=50K
42,14,32,Female,<=50K
21,9,40,Female,<=50K
40,9,30,Male,<=50K
40,9,40,Female,<=50K
58,10,40,Male,<=50K
30,9,40,Male,<=50K
25,11,40,Male,<=50K
32,13,40,Male,>50K
23,10,35,Female,<=50K
43,6,40,Male,<=50K
76,9,17,Male,<=50K
24,9,40,Male,<=50K
21,7,40,Male,<=50K
41,9,10,Male,<=50K
20,10,25,Female,<=50K
49,9,40,Male,<=50K
42,3,40,Male,>50K
56,9,40,Female,<=50K
55,10,40,Male,>50K
65,15,10,Male,>50K
21,12,30,Female,<=50K
37,13,50,Male,>50K
20,10,40,Male,<=50K
36,12,21,Female,<=50K
30,9,40,Male,<=50K
18,7,5,Female,<=50K
52,9,40,Female,<=50K
32,10,60,Male,<=50K
36,13,50,Male,>50K
34,14,60,Male,>50K
39,10,40,Male,<=50K
41,13,40,Male,>50K
61,4,40,Male,>50K
26,13,48,Male,>50K
56,9,10,Male,<=50K
41,11,40,Male,<=50K
35,10,50,Male,<=50K
37,14,40,Female,<=50K
33,9,50,Male,<=50K
28,9,40,Male,<=50K
43,10,45,Male,>50K
33,13,40,Male,<=50K
39,10,55,Male,<=50K
23,7,3,Male,<=50K
66,9,40,Male,<=50K
20,9,40,Male,<=50K
22,9,40,Male,<=50K
33,9,45,Male,<=50K
22,10,40,Male,<=50K
54,4,50,Male,<=50K
49,13,40,Female,<=50K
25,9,40,Female,<=50K
40,9,40,Male,<=50K
27,13,40,Female,<=50K
34,14,35,Female,>50K
21,9,40,Female,<=50K
47,9,40,Female,>50K
38,13,30,Female,>50K
46,6,40,Male,<=50K
37,9,40,Male,<=50K
56,9,40,Male,<=50K
64,9,20,Male,<=50K
30,6,50,Male,<=50K
46,13,40,Male,<=50K
19,6,40,Male,<=50K
35,9,40,Female,<=50K
51,12,40,Male,>50K
28,9,40,Female,<=50K
51,9,50,Male,>50K
47,13,18,Male,<=50K
21,13,20,Female,<=50K
43,12,45,Female,<=50K
46,13,40,Male,<=50K
39,9,50,Male,<=50K
25,9,40,Male,<=50K
47,8,40,Female,<=50K
50,15,80,Male,>50K
63,9,30,Female,<=50K
53,9,40,Male,>50K
31,9,52,Male,<=50K
44,11,40,Male,<=50K
53,5,75,Male,<=50K
50,13,24,Female,<=50K
44,9,45,Male,<=50K
17,7,20,Male,<=50K
29,6,40,Male,<=50K
46,9,20,Female,<=50K
22,10,30,Female,<=50K
54,9,55,Male,>50K
29,13,50,Male,>50K
52,9,40,Female,>50K
33,10,45,Male,<=50K
47,9,40,Male,>50K
23,9,40,Male,<=50K
59,9,40,Male,>50K
41,9,40,Male,<=50K
29,10,44,Male,<=50K
31,9,40,Female,<=50K
31,9,40,Female,<=50K
22,10,40,Male,<=50K
35,12,40,Male,<=50K
30,13,50,Female,<=50K
27,11,56,Male,<=50K
48,14,40,Female,>50K
21,10,30,Male,<=50K
44,12,40,Male,>50K
33,13,38,Male,<=50K
22,13,20,Female,<=50K
35,13,20,Male,>50K
32,10,50,Male,<=50K
21,9,33,Female,<=50K
46,6,40,Male,>50K
38,5,40,Male,<=50K
33,13,55,Male,>50K
30,13,35,Female,<=50K
45,13,45,Male,>50K
27,10,40,Male,<=50K
31,10,40,Female,<=50K
21,12,40,Female,<=50K
46,13,50,Male,>50K
63,9,50,Female,<=50K
31,9,45,Female,<=50K
39,8,40,Male,<=50K
36,13,40,Male,<=50K
33,11,40,Male,<=50K
24,9,40,Female,<=50K
40,13,40,Male,>50K
60,5,70,Male,<=50K
20,10,60,Male,<=50K
40,13,60,Male,>50K
35,9,4,Female,<=50K
37,13,50,Male,<=50K
48,5,40,Female,<=50K
37,10,40,Male,<=50K
40,13,40,Female,<=50K
38,9,40,Female,<=50K
31,9,38,Female,<=50K
38,10,55,Male,>50K
39,9,40,Female,<=50K
60,13,40,Male,>50K
21,10,70,Male,<=50K
37,16,40,Male,>50K
37,10,40,Male,>50K
40,9,84,Male,<=50K
30,13,50,Male,>50K
49,10,40,Male,<=50K
41,15,40,Male,>50K
22,10,35,Female,<=50K
34,10,40,Female,>50K
30,10,40,Female,<=50K
51,13,60,Male,>50K
45,12,40,Female,<=50K
25,9,40,Male,<=50K
70,6,40,Female,<=50K
36,13,38,Female,<=50K
18,10,40,Female,<=50K
34,9,50,Male,<=50K
48,10,40,Female,<=50K
21,9,30,Female,<=50K
36,16,50,Male,>50K
34,11,40,Male,<=50K
23,10,40,Female,<=50K
43,13,55,Male,<=50K
19,9,60,Male,<=50K
47,15,45,Male,>50K
23,10,40,Female,<=50K
60,9,70,Male,<=50K
45,9,40,Male,>50K
46,9,40,Male,<=50K
55,11,40,Male,>50K
41,9,40,Male,>50K
48,9,40,Female,<=50K
45,13,40,Male,>50K
60,10,26,Male,<=50K
30,9,50,Male,>50K
19,13,40,Female,<=50K
19,9,40,Female,<=50K
21,9,40,Male,<=50K
35,7,90,Male,<=50K
52,10,55,Male,<=50K
30,10,40,Female,<=50K
51,13,50,Male,>50K
19,10,35,Female,<=50K
37,10,40,Male,<=50K
31,10,65,Female,<=50K
36,10,40,Female,>50K
40,14,50,Male,>50K
31,9,75,Male,<=50K
20,7,35,Male,<=50K
51,9,50,Male,>50K
27,9,50,Male,<=50K
30,13,40,Male,<=50K
41,14,40,Female,<=50K
23,12,44,Male,<=50K
19,10,16,Female,<=50K
32,9,40,Female,<=50K
35,4,40,Male,<=50K
24,13,40,Male,<=50K
67,9,2,Female,<=50K
41,14,38,Female,>50K
59,13,45,Female,>50K
29,13,50,Female,<=50K
66,6,40,Female,<=50K
24,8,40,Male,<=50K
28,9,55,Male,<=50K
29,9,40,Male,<=50K
37,9,48,Male,<=50K
43,10,50,Female,<=50K
19,7,18,Male,<=50K
43,9,30,Male,<=50K
30,11,45,Male,>50K
49,9,40,Male,>50K
62,16,50,Male,>50K
47,9,85,Male,>50K
52,10,50,Male,<=50K
61,9,44,Female,<=50K
56,13,40,Male,>50K
21,10,30,Male,<=50K
30,10,40,Male,<=50K
27,10,40,Female,<=50K
21,6,35,Female,<=50K
47,9,33,Male,<=50K
36,10,50,Male,>50K
52,10,35,Female,<=50K
28,10,52,Female,<=50K
24,10,40,Female,<=50K
32,9,45,Male,<=50K
46,10,38,Male,>50K
90,9,40,Male,<=50K
51,9,40,Male,<=50K
46,4,40,Male,<=50K
27,9,40,Female,<=50K
61,13,48,Male,>50K
28,13,40,Male,<=50K
40,15,50,Male,>50K
54,9,40,Female,>50K
35,9,60,Male,>50K
21,9,55,Male,<=50K
23,9,45,Female,<=50K
32,9,60,Male,>50K
36,9,40,Male,<=50K
64,8,24,Male,<=50K
23,9,40,Female,<=50K
50,12,40,Male,<=50K
58,9,60,Male,>50K
42,9,50,Male,<=50K
62,9,45,Male,>50K
48,14,50,Female,<=50K
26,9,55,Male,<=50K
24,13,50,Male,<=50K
59,9,40,Male,>50K
29,9,45,Male,<=50K
42,13,40,Male,>50K
59,9,55,Male,<=50K
57,12,40,Male,<=50K
22,13,25,Female,<=50K
35,7,40,Male,<=50K
46,9,50,Male,<=50K
37,10,40,Male,>50K
40,8,50,Male,>50K
19,9,20,Male,<=50K
41,10,45,Male,<=50K
71,9,40,Female,<=50K
41,9,40,Female,<=50K
31,9,50,Male,<=50K
42,9,40,Female,<=50K
41,13,70,Male,<=50K
24,13,30,Male,<=50K
19,10,30,Male,<=50K
23,12,20,Male,<=50K
41,7,40,Male,<=50K
50,9,44,Male,>50K
24,11,20,Male,<=50K
67,9,7,Female,<=50K
34,9,38,Female,<=50K
33,10,40,Male,<=50K
56,13,40,Female,<=50K
56,14,50,Male,>50K
43,14,45,Female,>50K
24,13,25,Female,<=50K
34,9,80,Male,<=50K
65,6,28,Female,<=50K
41,9,50,Male,>50K
26,9,65,Male,<=50K
44,9,40,Male,<=50K
27,5,37,Female,<=50K
27,10,50,Male,<=50K
78,4,60,Male,<=50K
69,9,20,Female,<=50K
32,4,40,Male,<=50K
43,9,40,Male,<=50K
29,14,36,Male,<=50K
35,9,5,Female,<=50K
30,13,40,Female,<=50K
57,9,40,Male,<=50K
49,9,50,Male,<=50K
33,9,40,Male,<=50K
23,13,5,Female,<=50K
44,5,55,Female,<=50K
42,9,40,Male,<=50K
31,10,40,Male,<=50K
21,10,6,Female,<=50K
53,9,40,Male,>50K
37,9,40,Male,<=50K
27,10,40,Female,<=50K
32,10,40,Male,<=50K
32,10,40,Male,>50K
47,9,45,Male,<=50K
40,13,50,Male,<=50K
41,11,84,Male,<=50K
38,13,45,Male,<=50K
53,9,40,Male,>50K
48,10,40,Male,>50K
26,13,40,Male,<=50K
50,13,40,Male,>50K
29,13,40,Male,<=50K
57,14,40,Male,>50K
33,10,48,Male,<=50K
31,9,40,Male,<=50K
26,10,75,Male,<=50K
77,5,10,Female,<=50K
46,12,50,Female,<=50K
55,13,40,Male,<=50K
23,7,38,Female,<=50K
45,9,45,Female,<=50K
34,13,40,Female,<=50K
50,9,42,Male,>50K
46,13,10,Male,<=50K
26,10,40,Male,<=50K
29,14,40,Male,<=50K
49,12,35,Male,<=50K
42,10,45,Male,>50K
39,9,40,Male,>50K
59,14,60,Female,<=50K
55,13,50,Male,>50K
31,13,50,Male,<=50K
18,8,20,Female,<=50K
26,13,45,Male,<=50K
38,10,40,Male,<=50K
17,7,20,Male,<=50K
36,14,40,Female,<=50K
48,12,45,Male,<=50K
21,10,25,Male,<=50K
28,9,35,Female,<=50K
33,9,55,Male,>50K
51,9,48,Male,<=50K
24,9,40,Female,<=50K
21,8,20,Male,<=50K
37,13,50,Male,>50K
27,11,40,Male,<=50K
31,4,40,Female,<=50K
60,9,40,Female,<=50K
28,11,23,Female,<=50K
50,9,48,Female,<=50K
24,9,40,Male,<=50K
61,9,40,Male,>50K
40,14,40,Male,>50K
33,10,40,Female,<=50K
29,9,40,Male,>50K
42,10,30,Male,<=50K
26,13,40,Female,<=50K
46,14,50,Male,>50K
18,7,6,Female,<=50K
31,9,47,Male,<=50K
35,10,40,Male,<=50K
31,9,40,Male,<=50K
23,9,40,Male,<=50K
49,10,32,Female,<=50K
38,10,40,Female,<=50K
45,13,40,Male,>50K
19,9,40,Female,<=50K
38,9,43,Female,<=50K
18,10,20,Female,<=50K
25,10,40,Male,<=50K
24,11,20,Male,<=50K
39,9,40,Female,<=50K
59,9,40,Male,<=50K
62,10,20,Female,<=50K
45,10,40,Male,>50K
53,4,40,Male,<=50K
42,11,40,Female,<=50K
27,12,40,Male,<=50K
41,13,40,Male,>50K
47,13,40,Male,>50K
23,10,40,Female,<=50K
28,9,30,Female,<=50K
51,7,40,Female,<=50K
38,13,70,Male,>50K
64,13,35,Male,>50K
48,9,40,Female,<=50K
31,10,40,Female,<=50K
20,10,30,Female,<=50K
27,9,40,Male,<=50K
38,9,40,Male,>50K
28,9,52,Female,<=50K
42,9,55,Male,<=50K
68,9,10,Female,<=50K
34,9,40,Male,<=50K
37,10,30,Male,<=50K
42,9,40,Male,<=50K
27,9,60,Male,<=50K
71,7,75,Female,<=50K
60,10,40,Male,>50K
73,9,35,Female,<=50K
29,9,40,Male,<=50K
24,9,44,Male,<=50K
19,9,30,Female,<=50K
47,10,20,Female,<=50K
63,14,45,Male,<=50K
56,7,40,Male,<=50K
32,12,48,Male,<=50K
43,13,50,Male,<=50K
47,10,40,Male,<=50K
20,10,20,Female,<=50K
52,10,60,Male,>50K
17,7,10,Female,<=50K
37,12,40,Female,<=50K
62,4,20,Male,<=50K
60,13,40,Male,>50K
27,13,40,Female,>50K
59,6,40,Female,<=50K
49,10,60,Male,<=50K
41,13,40,Male,<=50K
50,10,44,Male,<=50K
30,13,40,Female,<=50K
19,6,40,Female,<=50K
23,13,20,Female,<=50K
56,9,40,Male,<=50K
63,10,40,Male,<=50K
42,14,40,Male,>50K
37,12,13,Female,>50K
50,9,40,Male,>50K
32,10,40,Male,<=50K
33,11,50,Female,>50K
64,10,40,Female,<=50K
29,13,40,Female,>50K
59,10,40,Male,<=50K
44,10,40,Female,<=50K
26,3,14,Male,<=50K
63,13,40,Male,>50K
41,9,40,Male,>50K
50,13,45,Male,>50K
25,8,40,Male,<=50K
39,10,38,Female,<=50K
72,4,30,Male,<=50K
41,14,50,Male,>50K
36,9,90,Male,<=50K
19,10,25,Female,<=50K
48,9,40,Male,>50K
61,4,30,Male,<=50K
42,10,40,Female,<=50K
69,9,30,Male,<=50K
23,13,45,Female,<=50K
40,14,24,Female,>50K
45,15,60,Male,>50K
68,9,6,Female,<=50K
25,9,40,Male,<=50K
48,10,40,Male,>50K
34,13,55,Female,>50K
37,11,50,Male,<=50K
17,8,8,Female,<=50K
19,10,30,Male,<=50K
24,13,55,Female,<=50K
26,10,20,Male,<=50K
46,10,45,Male,>50K
34,11,35,Male,<=50K
23,10,35,Male,<=50K
25,13,40,Male,<=50K
34,13,40,Male,>50K
